__time,/joint_states/header/stamp,/joint_states/left_ankle_pitch/effort,/joint_states/left_ankle_pitch/position,/joint_states/left_ankle_pitch/velocity,/joint_states/left_ankle_roll/effort,/joint_states/left_ankle_roll/position,/joint_states/left_ankle_roll/velocity,/joint_states/left_hip_pitch/effort,/joint_states/left_hip_pitch/position,/joint_states/left_hip_pitch/velocity,/joint_states/left_hip_roll/effort,/joint_states/left_hip_roll/position,/joint_states/left_hip_roll/velocity,/joint_states/left_hip_yaw/effort,/joint_states/left_hip_yaw/position,/joint_states/left_hip_yaw/velocity,/joint_states/left_knee/effort,/joint_states/left_knee/position,/joint_states/left_knee/velocity,/joint_states/right_ankle_pitch/effort,/joint_states/right_ankle_pitch/position,/joint_states/right_ankle_pitch/velocity,/joint_states/right_ankle_roll/effort,/joint_states/right_ankle_roll/position,/joint_states/right_ankle_roll/velocity,/joint_states/right_hip_pitch/effort,/joint_states/right_hip_pitch/position,/joint_states/right_hip_pitch/velocity,/joint_states/right_hip_roll/effort,/joint_states/right_hip_roll/position,/joint_states/right_hip_roll/velocity,/joint_states/right_hip_yaw/effort,/joint_states/right_hip_yaw/position,/joint_states/right_hip_yaw/velocity,/joint_states/right_knee/effort,/joint_states/right_knee/position,/joint_states/right_knee/velocity
1769069478.449043,1769069478.448582172,-0.011583694,0.000085475,0.031563918,0.016555907,-0.000159789,-0.023140486,0.073677838,-0.000213051,-0.052652344,-0.020854829,0.000000000,-0.025967613,0.007991788,0.000076699,0.013551536,-0.013530549,0.000042610,0.044894096,0.034747100,-0.000017092,0.001941802,-0.028556190,-0.000095873,-0.037985690,0.013713416,0.000000000,0.030436557,0.065398589,-0.000170441,-0.003138865,0.014598804,0.000038350,0.010859299,-0.003188064,0.000085220,0.034981012
1769069478.459507,1769069478.458638668,-0.030888869,0.000000008,-0.017336287,0.013063881,-0.000191747,-0.036570826,0.042828791,-0.000085220,0.012767471,-0.017183715,0.000042610,-0.005438316,0.007661914,0.000076699,0.020221291,-0.005073272,-0.000085220,-0.028084861,0.018608637,0.000000001,0.013191611,-0.007925968,0.000063916,0.031796222,0.077240065,-0.000042610,0.003271138,0.027315605,-0.000127830,0.006685434,0.009513128,-0.000038350,-0.016124034,-0.006135204,0.000085220,0.034585752
1769069478.469353,1769069478.468646526,0.043926727,-0.000034179,-0.024385728,-0.001259578,-0.000191747,-0.044611839,0.036621366,-0.000085220,0.018074635,-0.036057319,-0.000085220,-0.054843411,0.021168705,0.000076699,0.026672302,0.025898939,-0.000085220,-0.010541106,-0.011921465,0.000017094,0.021560438,0.004327422,-0.000031958,-0.007257833,0.015223364,0.000042610,0.057058468,0.050623525,-0.000127830,0.016313558,-0.010462283,-0.000038350,-0.022669984,0.022947695,0.000000000,-0.008516698
1769069478.479289,1769069478.478648901,-0.021099376,0.000000003,-0.012160872,0.013103780,-0.000127831,-0.004109908,0.011776043,0.000042610,0.065926015,0.000039127,-0.000042610,-0.046125796,0.002673092,0.000038350,0.001474429,0.026731089,0.000000000,0.014751283,0.024125949,-0.000017093,-0.001528773,0.001723178,-0.000031958,-0.005847264,0.028640779,-0.000127830,-0.030649746,0.022718336,-0.000085220,0.024017995,0.040936433,0.000000000,-0.000197964,-0.007417959,0.000000000,-0.003680975
1769069478.489413,1769069478.488607407,-0.012902652,0.000034195,0.001506252,0.014244035,-0.000191747,-0.027779381,-0.002034554,-0.000085220,-0.000004693,0.029942311,0.000042610,-0.004802820,-0.004668579,0.000038350,0.007078131,0.011268752,-0.000170441,-0.049675994,-0.002701545,0.000034188,0.019211025,-0.014195569,0.000000000,0.009922186,-0.009477388,-0.000042610,0.004811479,0.027575601,0.000042610,0.087077692,-0.006068463,0.000038350,0.011636410,0.029906003,-0.000042610,-0.031433672
1769069478.499227,1769069478.498573542,0.006673420,-0.000017083,-0.017936707,0.019158497,-0.000223705,-0.044164761,0.080747642,-0.000127830,-0.016693858,-0.013803750,0.000042610,-0.008623489,0.013770721,0.000000000,-0.014749758,-0.011642423,-0.000127830,-0.033692118,-0.019653118,-0.000017092,0.000991973,0.003002464,-0.000095873,-0.041269932,-0.011445315,-0.000042610,0.000656702,0.056534994,-0.000085220,0.029396545,0.031486090,-0.000115049,-0.051202852,-0.014636673,-0.000042610,-0.033675268
1769069478.509282,1769069478.508661985,-0.058195771,0.000085475,0.032501070,-0.013943176,-0.000159789,-0.020108668,-0.049259804,0.000000000,0.040965177,0.009270743,0.000085220,0.013767548,-0.036956802,0.000038350,-0.007655722,-0.000504110,-0.000170441,-0.056106947,-0.027708272,0.000034188,0.021884229,0.004884119,0.000000000,0.002982773,0.016100900,0.000042610,0.044687193,-0.009743147,-0.000255661,-0.066596486,0.020851275,0.000038350,0.025088502,-0.000248551,0.000000000,-0.008472282
1769069478.519521,1769069478.518604279,0.015733769,0.000000003,-0.011888091,0.000031110,-0.000127831,0.006082235,0.029157612,-0.000213051,-0.059779909,0.043383010,0.000085220,0.021991624,-0.047422647,0.000076699,0.022396049,0.077390820,-0.000085220,-0.013622716,0.023856085,0.000000000,0.009611096,0.007875807,-0.000000000,0.010337836,0.015810186,-0.000042610,0.013728346,-0.026682228,-0.000085220,0.027975826,-0.035394359,0.000000000,-0.001116254,-0.000928011,-0.000042610,-0.020652572
1769069478.529495,1769069478.528599501,0.039350056,0.000017094,0.000292257,-0.051703455,0.000031958,0.050329315,0.012800924,-0.000213051,-0.058267429,0.022954511,-0.000042610,-0.043229967,-0.012912823,0.000000000,-0.016647641,-0.021668095,0.000000000,0.024249364,0.023535230,-0.000017092,-0.001964564,0.010408410,0.000095874,0.049320299,-0.025491334,-0.000042610,0.004383507,0.001526475,-0.000255661,-0.061929818,-0.015635733,0.000115049,0.050656158,0.010161243,0.000042610,0.023519734
1769069478.539157,1769069478.538544178,0.004558987,-0.000034186,-0.022878149,0.014930812,-0.000063916,0.021697704,-0.006513740,-0.000127830,-0.017405968,0.033858273,0.000127830,0.030121585,-0.011167744,0.000038350,0.002127121,-0.006712372,0.000042610,0.041833472,-0.003875137,-0.000017093,0.000275002,0.013271570,0.000031958,0.018500994,0.005865342,-0.000170441,-0.058848251,0.006587951,-0.000170441,-0.027567204,-0.010386521,0.000000000,-0.002370645,-0.006087859,0.000042610,0.010954869
1769069478.548792,1769069478.548492670,0.036192915,0.000068379,0.024926648,0.010664847,-0.000127831,-0.001226182,0.009074542,-0.000170441,-0.041727215,0.000704728,0.000042610,-0.005002283,-0.012589742,0.000000000,-0.019449979,0.031184180,-0.000085220,-0.021490443,0.006884680,-0.000034187,-0.004186480,0.008831265,0.000000000,0.008585986,0.033080820,-0.000127830,-0.039818611,0.035013102,-0.000127830,0.003426433,0.005336579,0.000000000,-0.005680070,-0.019973282,0.000000000,-0.009731042
1769069478.558822,1769069478.558528900,0.047304436,0.000068377,0.023704869,0.026141185,-0.000063916,0.031116761,0.006621740,-0.000213051,-0.049999692,0.016472438,0.000127830,0.038711034,0.001396770,0.000038350,0.009632704,-0.035950143,-0.000042610,-0.003565916,0.027767795,-0.000017093,0.000605623,-0.039690824,0.000031958,0.012191572,0.003566610,-0.000042610,0.008646569,0.019560238,-0.000170441,-0.017903507,0.000040478,0.000000000,-0.011003587,-0.008721066,0.000042610,0.014047375
1769069478.568781,1769069478.568471193,-0.021226161,0.000000003,-0.012026937,0.007223911,-0.000127831,-0.006459112,0.015579384,-0.000085220,0.010783236,0.036673807,0.000170441,0.051319167,-0.004552615,-0.000038350,-0.032462325,0.016579377,-0.000085220,-0.017990764,-0.037344517,-0.000051280,-0.019424669,-0.011951082,-0.000031958,-0.007917676,0.010160943,0.000000000,0.022847634,0.016671546,-0.000042610,0.031074675,-0.004731053,0.000000000,0.001637873,0.001292545,0.000085220,0.032069702
1769069478.578889,1769069478.578509092,0.005260637,0.000051292,0.010109503,0.025270857,-0.000223705,-0.053033389,-0.047080833,-0.000085220,0.002987029,0.010427802,0.000000000,-0.019251030,-0.016347224,0.000038350,-0.003485417,-0.030291049,-0.000042610,0.004258408,-0.031655164,-0.000034186,-0.011090514,-0.014048110,0.000063916,0.038002485,-0.033348836,-0.000042610,0.005346714,-0.012879084,-0.000127830,0.003283198,-0.004958935,0.000038350,0.007530039,-0.004079656,0.000000000,-0.006375295
1769069478.588851,1769069478.588589668,0.051007548,0.000017111,-0.001227745,0.010845468,-0.000287621,-0.078864433,0.008092495,0.000000000,0.045562141,0.042667784,0.000127830,0.042337816,-0.022658279,0.000000000,-0.018463684,-0.013043535,-0.000085220,-0.012115397,0.026438125,0.000000000,0.008854383,0.000499746,-0.000000000,0.002890604,-0.004101882,-0.000042610,0.000436795,-0.032057952,-0.000127830,0.010681698,-0.015914941,-0.000038350,-0.015530849,-0.018786648,-0.000042610,-0.032273501
1769069478.598763,1769069478.598592997,0.043152562,0.000017099,0.001248683,0.002741240,-0.000159789,-0.007632528,0.021590360,-0.000170441,-0.039996047,-0.071592525,0.000000000,-0.016208857,0.012991214,0.000115049,0.038766120,-0.004767069,0.000000000,0.021709090,-0.015552862,0.000000001,0.002695285,-0.011527601,-0.000063916,-0.023077987,0.057227366,-0.000170441,-0.048464604,-0.004201095,-0.000127830,0.000224948,-0.010940995,-0.000076699,-0.044612538,-0.005577548,0.000085220,0.034611460
1769069478.608728,1769069478.608549356,0.000102162,0.000000001,-0.014998789,0.007686229,-0.000063916,0.022841127,-0.004202669,-0.000085220,0.006405776,-0.009782186,0.000085220,0.012516572,0.017258452,0.000076699,0.013581402,-0.009643498,-0.000085220,-0.018348781,-0.012193993,-0.000017092,-0.000796991,0.009538711,-0.000095873,-0.030650422,-0.005859161,-0.000170441,-0.055413291,-0.014688728,-0.000213051,-0.045039736,0.016664537,0.000115049,0.049871750,-0.004144317,0.000000000,-0.004438585
1769069478.618741,1769069478.618477821,-0.027483687,0.000000003,-0.009672198,0.011570695,-0.000127831,-0.009304372,0.019355878,-0.000042610,0.018821534,0.004746053,0.000085220,0.017040955,-0.035577577,0.000000000,-0.021938303,0.004464372,-0.000042610,0.004249165,-0.036133102,0.000000001,0.001315470,0.008530250,0.000063916,0.044132255,0.048061144,-0.000170441,-0.060531277,0.065389432,-0.000255661,-0.044137608,-0.000657796,0.000038350,0.011374204,-0.009616718,0.000085220,0.025185190
1769069478.628880,1769069478.628497601,0.015697748,0.000017094,-0.004812339,0.000315633,-0.000031958,0.043939163,0.022750091,0.000000000,0.042147942,-0.000939787,-0.000170441,-0.057196382,-0.001349887,-0.000038350,-0.028713090,0.004649319,-0.000042610,-0.006974883,0.006648563,0.000034189,0.025962722,-0.012248000,0.000063916,0.038808837,-0.015139346,-0.000085220,-0.023435732,0.042992517,-0.000170441,-0.009486438,-0.019122640,0.000038350,0.013950194,0.001840463,0.000000000,-0.000566981
