__time,/joint_states/header/stamp,/joint_states/left_ankle_pitch/effort,/joint_states/left_ankle_pitch/position,/joint_states/left_ankle_pitch/velocity,/joint_states/left_ankle_roll/effort,/joint_states/left_ankle_roll/position,/joint_states/left_ankle_roll/velocity,/joint_states/left_hip_pitch/effort,/joint_states/left_hip_pitch/position,/joint_states/left_hip_pitch/velocity,/joint_states/left_hip_roll/effort,/joint_states/left_hip_roll/position,/joint_states/left_hip_roll/velocity,/joint_states/left_hip_yaw/effort,/joint_states/left_hip_yaw/position,/joint_states/left_hip_yaw/velocity,/joint_states/left_knee/effort,/joint_states/left_knee/position,/joint_states/left_knee/velocity,/joint_states/right_ankle_pitch/effort,/joint_states/right_ankle_pitch/position,/joint_states/right_ankle_pitch/velocity,/joint_states/right_ankle_roll/effort,/joint_states/right_ankle_roll/position,/joint_states/right_ankle_roll/velocity,/joint_states/right_hip_pitch/effort,/joint_states/right_hip_pitch/position,/joint_states/right_hip_pitch/velocity,/joint_states/right_hip_roll/effort,/joint_states/right_hip_roll/position,/joint_states/right_hip_roll/velocity,/joint_states/right_hip_yaw/effort,/joint_states/right_hip_yaw/position,/joint_states/right_hip_yaw/velocity,/joint_states/right_knee/effort,/joint_states/right_knee/position,/joint_states/right_knee/velocity
1769071424.360848,1769071424.360483408,-0.004643819,-0.000102557,-0.023642803,0.014164788,-0.000127831,0.001636055,0.057012483,-0.000085220,0.007091164,-0.077869423,0.000085220,-0.032039534,0.214067414,-0.002032525,0.015140781,-0.745848894,0.005070609,-0.024078924,-0.059214228,0.000393301,0.012959738,-0.018627773,0.000735036,0.017689740,-0.027504100,-0.000085220,-0.006634711,0.043655317,-0.000127830,-0.011103639,0.005846037,0.000038350,0.027353508,0.033318553,0.000085220,0.030167872
1769071424.370996,1769071424.370536566,-0.012390070,-0.000034186,0.002685804,-0.006817925,-0.000063916,0.023299187,0.028009731,0.000000000,0.039803259,-0.038893756,0.000085220,-0.022913145,0.229211658,-0.002185923,-0.059981633,-0.755495191,0.005113218,-0.006929938,-0.023830884,0.000427494,0.022182662,-0.041446061,0.000735036,0.018764648,0.047075205,0.000000000,0.047481846,0.025751632,-0.000085220,0.018572457,0.000790546,0.000000000,-0.006089914,0.002570655,0.000042610,0.012509862
1769071424.380869,1769071424.380482912,0.000891198,-0.000085462,-0.019878845,-0.016026525,-0.000159789,-0.013095630,0.056917854,0.000000000,0.039273161,-0.000304774,0.000085220,-0.014781922,0.212529570,-0.002070874,-0.006377589,-0.800262153,0.005070609,-0.027965598,-0.060472461,0.000393321,0.004133081,-0.028369493,0.000798952,0.044053332,-0.007536924,-0.000213051,-0.055846278,0.028904043,-0.000127830,-0.006606413,-0.019353176,0.000038350,0.019565241,0.020967344,0.000042610,0.018807366
1769071424.390827,1769071424.390500307,-0.050022456,-0.000034186,0.005171236,-0.011891261,-0.000063916,0.019821915,0.066114955,0.000085220,0.074847735,-0.052462932,0.000085220,-0.024500556,0.210009441,-0.002070874,-0.007737654,-0.780589879,0.005113218,-0.010113391,-0.075054093,0.000342002,-0.021564745,-0.038993049,0.000703077,0.003545942,0.003105472,-0.000042610,0.025019491,-0.000974132,-0.000170441,-0.032858364,-0.011496003,-0.000038350,-0.017240655,-0.033532709,0.000085220,0.034983143
1769071424.401094,1769071424.400688887,0.029816136,-0.000017092,0.013559859,-0.000551122,-0.000095874,0.015405447,0.011172790,-0.000170441,-0.026876474,0.009255982,0.000085220,-0.013065995,0.197989330,-0.002109224,-0.016379170,-0.810300708,0.005198439,0.026742471,-0.067144902,0.000444563,0.026307951,-0.022327662,0.000639161,-0.025215695,-0.011291372,-0.000170441,-0.036173046,-0.008735052,-0.000255661,-0.057101052,-0.043534223,-0.000115049,-0.057704974,-0.016552793,-0.000042610,-0.031565782
1769071424.410841,1769071424.410507679,0.098377300,-0.000068366,-0.009075114,-0.024416626,-0.000191747,-0.031510209,0.045110721,-0.000170441,-0.045866139,-0.029474597,0.000127830,-0.009363376,0.207540646,-0.002070874,-0.013861516,-0.777652860,0.005155828,0.016965810,-0.108452584,0.000359089,-0.012471633,-0.034091549,0.000671119,-0.016397386,0.023524979,-0.000255661,-0.075956888,0.041186124,0.000000000,0.056174029,-0.007949111,-0.000038350,-0.016824987,0.029561872,0.000170441,0.080497466
1769071424.420800,1769071424.420510530,0.048651316,-0.000068370,0.000015870,0.044872312,-0.000127831,0.011847992,0.011207373,-0.000085220,0.006659393,0.007008956,0.000127830,-0.010003461,0.222426951,-0.002109224,-0.020307722,-0.724256456,0.005155828,0.034136821,-0.017687005,0.000376177,0.000474544,-0.028223718,0.000639161,-0.036167328,0.033821527,-0.000170441,-0.032681003,0.016350318,-0.000170441,-0.026987901,-0.009884494,-0.000038350,-0.017084287,0.017310433,0.000042610,0.010652707
1769071424.430871,1769071424.430465698,-0.004619429,-0.000017092,0.016295667,0.000786943,-0.000095874,0.011579495,-0.034477234,-0.000042610,0.018927453,-0.006979879,0.000213051,0.038903654,0.186334372,-0.002109224,-0.022337459,-0.809061706,0.005155828,0.008586315,-0.046742950,0.000393282,0.006989243,-0.047084615,0.000671119,-0.019475227,0.009273054,-0.000042610,0.023594586,0.035581563,-0.000170441,-0.023075527,-0.017594788,-0.000038350,-0.015353206,0.034648407,0.000170441,0.070282787
1769071424.441027,1769071424.440533161,0.004122139,-0.000068370,-0.012597057,0.009299890,-0.000127831,-0.011746493,0.008619530,-0.000042610,0.018882681,-0.021516943,0.000042610,-0.035662487,0.194120809,-0.002070874,0.003293954,-0.768072903,0.005113218,-0.009855728,-0.022776836,0.000427475,0.022130659,-0.028437852,0.000671119,-0.024233043,0.043921325,-0.000213051,-0.054194983,0.047889866,-0.000213051,-0.042350505,-0.017316030,0.000000000,-0.002696078,-0.002272662,0.000127830,0.048440635
1769071424.451075,1769071424.450566053,0.075674362,-0.000034184,0.008400526,-0.004697415,-0.000127831,-0.000463718,-0.009009001,-0.000127830,-0.020603027,-0.015378250,0.000170441,0.021502927,0.228857726,-0.002070874,-0.005463263,-0.818192065,0.005113218,0.000557175,-0.070468295,0.000359089,-0.015113939,-0.039684849,0.000671119,-0.017743141,-0.010882368,-0.000127830,-0.031056859,-0.030623822,-0.000085220,0.009361499,0.017815437,0.000000000,0.003228955,-0.045639496,-0.000042610,-0.031066254
