__time,/joint_states/header/stamp,/joint_states/left_ankle_pitch/effort,/joint_states/left_ankle_pitch/position,/joint_states/left_ankle_pitch/velocity,/joint_states/left_ankle_roll/effort,/joint_states/left_ankle_roll/position,/joint_states/left_ankle_roll/velocity,/joint_states/left_hip_pitch/effort,/joint_states/left_hip_pitch/position,/joint_states/left_hip_pitch/velocity,/joint_states/left_hip_roll/effort,/joint_states/left_hip_roll/position,/joint_states/left_hip_roll/velocity,/joint_states/left_hip_yaw/effort,/joint_states/left_hip_yaw/position,/joint_states/left_hip_yaw/velocity,/joint_states/left_knee/effort,/joint_states/left_knee/position,/joint_states/left_knee/velocity,/joint_states/right_ankle_pitch/effort,/joint_states/right_ankle_pitch/position,/joint_states/right_ankle_pitch/velocity,/joint_states/right_ankle_roll/effort,/joint_states/right_ankle_roll/position,/joint_states/right_ankle_roll/velocity,/joint_states/right_hip_pitch/effort,/joint_states/right_hip_pitch/position,/joint_states/right_hip_pitch/velocity,/joint_states/right_hip_roll/effort,/joint_states/right_hip_roll/position,/joint_states/right_hip_roll/velocity,/joint_states/right_hip_yaw/effort,/joint_states/right_hip_yaw/position,/joint_states/right_hip_yaw/velocity,/joint_states/right_knee/effort,/joint_states/right_knee/position,/joint_states/right_knee/velocity
1769760185.330341,1769760185.329729557,-0.008489155,0.000017096,-0.012384020,-0.005188131,-0.000095874,-0.038401122,0.027186731,-0.000127830,-0.056799807,-0.006824456,0.000127830,0.006639146,-0.014849431,0.000115049,0.017342249,0.022648498,0.000000000,-0.018570920,0.016289692,0.000342066,-0.010481884,0.010361901,-0.000894810,0.007609308,-0.018708516,0.000000000,0.031316478,0.010758372,0.000000000,-0.010118522,-0.024388172,0.000000000,0.027276477,-0.055710331,0.000042610,0.009497207
1769760185.340419,1769760185.339676619,0.054186059,0.000051284,0.015390000,-0.007005681,-0.000095874,-0.032028285,-0.040552586,0.000042610,0.029417764,-0.009288366,0.000127830,0.011770746,-0.023517326,0.000076699,-0.002498534,0.006057322,0.000000000,-0.011634442,0.038929559,0.000410452,0.020756151,0.005632190,-0.000894810,0.007967338,0.012493396,0.000000000,0.026550142,0.007412332,0.000127830,0.049103502,-0.005960057,-0.000115049,-0.020480756,-0.014814631,0.000000000,-0.008940737
1769760185.350400,1769760185.349713802,0.033129588,0.000034189,0.003537967,0.030599262,0.000063916,0.039116248,0.006372886,-0.000042610,-0.010649265,0.013105097,0.000255661,0.062970363,-0.025973747,0.000076699,0.002552803,0.031893671,0.000042610,0.005164532,0.033788946,0.000393449,0.013447556,0.003527910,-0.001118510,-0.095945016,-0.001255571,0.000000000,0.031144632,-0.025729418,-0.000085220,-0.065670505,-0.019973230,-0.000076699,0.006986800,-0.007549851,-0.000042610,-0.022027973
1769760185.360384,1769760185.359682322,-0.004268611,-0.000017093,-0.019914447,0.008914372,-0.000031958,-0.003966576,-0.014163312,-0.000042610,-0.010097651,0.032178331,0.000042610,-0.019922815,0.015635727,0.000000000,-0.035718832,0.005709585,0.000000000,-0.016224671,0.034894373,0.000427537,0.035542569,0.019121703,-0.000862852,0.020716800,0.046432618,-0.000042610,0.016701732,0.026452241,0.000085220,0.031119555,0.024911569,-0.000076699,0.012734245,0.028441679,0.000000000,-0.004659254
1769760185.370408,1769760185.369698763,-0.027017961,0.000051284,0.005503740,-0.002620146,0.000095873,0.060338641,-0.043490775,-0.000042610,-0.010355141,-0.021258574,0.000127830,0.013381576,0.020151826,0.000115049,0.020014577,-0.027587000,0.000042610,0.000660607,0.035636283,0.000342043,-0.013568329,-0.011721671,-0.000830896,0.037485802,0.028054927,-0.000085220,-0.011344367,0.024523091,0.000000000,-0.015844788,0.005505313,-0.000076699,0.006154726,-0.029252542,0.000000000,-0.003923673
1769760185.380002,1769760185.379629135,-0.057771347,0.000068377,0.018719693,0.027597030,-0.000063916,-0.010564714,0.003691641,0.000000000,0.007550910,-0.058126498,0.000298271,0.090438351,-0.008201345,0.000076699,-0.004674570,0.020067180,0.000000000,-0.023563398,0.046115402,0.000342066,-0.012006752,-0.000917607,-0.000894810,0.011922165,0.044240419,-0.000042610,0.022743393,-0.024896249,0.000042610,0.009431271,-0.014738893,-0.000153398,-0.039366525,-0.014588336,0.000127830,0.063358411
1769760185.389845,1769760185.389588118,0.038836379,0.000068377,0.016546417,-0.002052953,-0.000063916,-0.017408694,-0.000461720,-0.000085220,-0.033064108,0.014288902,0.000170441,0.033122558,-0.028669158,0.000038350,-0.016669471,-0.014330076,0.000127830,0.034250382,0.039377585,0.000342091,-0.008336500,-0.006209462,-0.000958725,-0.018563630,0.022011470,-0.000042610,0.017483808,0.014155185,-0.000042610,-0.031656057,0.013719440,0.000000000,0.043312665,0.022440957,0.000042610,0.013647821
1769760185.399946,1769760185.399666548,-0.011259803,-0.000017092,-0.023651555,-0.023374173,-0.000095874,-0.023969297,-0.023744740,0.000000000,-0.005626071,-0.064161301,0.000213051,0.047442697,0.002527290,0.000115049,0.013481391,-0.021199606,0.000085220,0.018788362,0.043113597,0.000307899,-0.021667215,-0.004148024,-0.000958725,-0.025802675,0.030783691,-0.000085220,-0.002688227,-0.020688353,0.000213051,0.095593892,0.016858462,-0.000115049,-0.010100939,0.005606293,0.000000000,-0.013127331
1769760185.409947,1769760185.409615993,0.014602833,-0.000017093,-0.018335045,0.017806513,-0.000031958,-0.001256826,0.015618308,-0.000042610,-0.010255938,0.012759528,0.000213051,0.057686765,-0.039359331,0.000038350,-0.017633695,0.000353033,0.000000000,-0.023989523,0.038154960,0.000410477,0.025049909,0.002909702,-0.000958724,-0.020273583,0.006389747,0.000000000,0.033389587,0.016251490,0.000000000,-0.006699158,-0.014670277,-0.000038350,0.018861970,-0.011276807,0.000000000,-0.005883597
1769760185.419934,1769760185.419659853,0.008565829,0.000051282,0.010993563,-0.018262587,-0.000031958,-0.009773023,-0.010970817,0.000000000,-0.002556141,-0.027605541,0.000085220,-0.006110875,-0.002070763,0.000076699,-0.001767667,-0.036382418,-0.000085220,-0.069501974,0.049681854,0.000376259,0.006272016,0.011772727,-0.000894810,0.013046712,0.005571912,-0.000085220,-0.013418293,-0.024040708,0.000000000,-0.020284586,0.001260164,-0.000038350,0.012969089,-0.011624387,-0.000127830,-0.062531985
