True Base Parameters, Estimated Base Parameters
-0.000167,-0.000003
0.000404,-0.012491
0.000165,0.003381
-0.000000,0.012627
0.000000,-0.005671
0.000000,-0.003521
0.111976,0.133030
0.003854,-0.008382
-0.007236,-0.006557
0.001584,0.001551
0.011070,0.009221
-0.010954,-0.011391
0.000019,0.009905
-0.110671,-0.165506
0.000035,0.006421
0.000278,0.002516
0.000000,0.004911
0.111180,0.172851
-0.000130,0.019785
-0.003733,0.022346
0.304744,0.431937
-0.411281,-0.579327
0.110672,0.128262
0.413797,0.583723
-0.000005,-0.004118
-0.060876,-0.110373
-0.438740,-0.441234
0.018374,0.024666
0.000000,-0.020548
0.524392,0.710159
0.005977,0.209645
-0.000586,0.002588
-0.018107,-0.007792
-1.367682,-1.418538
0.004795,-0.013100
-0.000021,-0.045071
0.009590,0.008187
-0.131597,-0.156557
