time,ref_q1,ref_q2,ref_q3,ref_q4,ref_q5,ref_q6,q1,q2,q3,q4,q5,q6,vel_q1,vel_q2,vel_q3,vel_q4,vel_q5,vel_q6,tau1,tau2,tau3,tau4,tau5,tau6,ref_acc1,ref_acc2,ref_acc3,ref_acc4,ref_acc5,ref_acc6
0.004000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,-0.000000,0.000004,-0.000000,0.000036,0.000242,0.000078,-0.000000,0.001720,-0.000028,0.013162,-0.000459,-0.000155,0.000002,-0.002958,0.000052,-0.022015,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
0.008000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000002,0.000001,0.000000,0.000015,-0.000000,0.000103,0.000464,0.000130,0.000003,0.003005,-0.000023,0.017885,-0.001456,-0.000438,-0.000003,-0.008159,0.000080,-0.047117,0.000000,0.011710,0.000000,0.029927,0.000000,-0.005205
0.012000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000004,0.000001,0.000000,0.000029,-0.000000,0.000175,0.000656,0.000165,0.000007,0.003941,-0.000010,0.017774,-0.002832,-0.000782,-0.000011,-0.014410,0.000080,-0.066468,0.000000,0.023280,0.000000,0.059493,0.000000,-0.010347
0.016000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000008,0.000002,0.000000,0.000047,-0.000000,0.000240,0.000815,0.000188,0.000009,0.004602,0.000002,0.015284,-0.004519,-0.001161,-0.000020,-0.021370,0.000066,-0.080318,0.000000,0.034709,0.000000,0.088702,0.000000,-0.015426
0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000011,0.000003,0.000000,0.000066,-0.000000,0.000293,0.000944,0.000204,0.000010,0.005046,0.000009,0.011959,-0.006456,-0.001559,-0.000028,-0.028771,0.000049,-0.089553,0.000000,0.045999,0.000000,0.117553,0.000000,-0.020444
0.024000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000015,0.000004,0.000000,0.000087,-0.000000,0.000333,0.001046,0.000214,0.000010,0.005324,0.000012,0.008679,-0.008586,-0.001962,-0.000035,-0.036408,0.000033,-0.095247,0.000000,0.057149,0.000000,0.146049,0.000000,-0.025400
0.028000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000020,0.000004,0.000000,0.000109,-0.000000,0.000360,0.001123,0.000221,0.000009,0.005476,0.000011,0.005872,-0.010864,-0.002356,-0.000040,-0.044122,0.000021,-0.098420,0.000000,0.068162,0.000000,0.174191,0.000000,-0.030294
0.032000,0.000000,0.000000,0.000000,0.000001,0.000000,-0.000000,0.000024,0.000005,0.000000,0.000131,-0.000000,0.000378,0.001181,0.000225,0.000008,0.005534,0.000010,0.003684,-0.013251,-0.002730,-0.000043,-0.051792,0.000012,-0.099925,0.000000,0.079036,0.000000,0.201980,0.000000,-0.035127
0.036000,0.000000,0.000000,0.000000,0.000001,0.000000,-0.000000,0.000029,0.000006,0.000000,0.000153,-0.000000,0.000389,0.001223,0.000228,0.000006,0.005524,0.000007,0.002101,-0.015716,-0.003074,-0.000044,-0.059326,0.000006,-0.100410,0.000000,0.089772,0.000000,0.229418,0.000000,-0.039899
0.040000,0.000000,0.000001,0.000000,0.000002,0.000000,-0.000000,0.000034,0.000007,0.000000,0.000175,-0.000000,0.000394,0.001253,0.000230,0.000004,0.005466,0.000005,0.001032,-0.018236,-0.003377,-0.000045,-0.066656,0.000003,-0.100336,0.000000,0.100372,0.000000,0.256506,0.000000,-0.044610
