Parameter,Value
m1,1.764294
mx1,0.00976536729
my1,0.1011822609
mz1,-0.026055093792
Ixx1,0.009504584287735256
Ixy1,-0.0007065438140815
Ixz1,0.002806832933070406
Iyy1,0.0017958596289712
Iyz1,0.009264853970565149
Izz1,0.00018912004413872
m2,1.291801
mx2,-0.057660829436000004
my2,-2.0668815999999998e-05
mz2,-0.094612797041
Ixx2,0.009288536198780936
Ixy2,2.1255729023999975e-08
Ixz2,0.012655284650785177
Iyy2,-4.9432747526559996e-06
Iyz2,0.004548749113406352
Izz2,-0.004224063868722076
m3,1.867391
mx3,-0.000586360774
my3,-0.024899791594
mz3,-0.31005226468499997
Ixx3,0.06346154158808837
Ixy3,1.8960465439484e-05
Ixz3,0.06355971188425699
Iyy3,-0.005115036897309789
Iyz3,0.002417197938397432
Izz3,-0.00013032041111108998
m4,1.894225
mx4,0.0183739825
my4,-0.025409134150000002
mz4,-0.310253218525
Ixx4,0.06796690253447932
Ixy4,0.000278182601255
Ixz4,0.06762429203924122
Iyy4,-0.00505143667329435
Iyz4,0.0020290657557381
Izz4,0.0038541562196925
m5,0.040313
mx5,-0.000765947
my5,0.0
mz5,0.0
Ixx5,3.4981039999999997e-06
Ixy5,1e-12
Ixz5,1.9678007e-05
Iyy5,0.0
Iyz5,2.1562002e-05
Izz5,-1.165e-16
m6,0.343229
mx6,0.011070492982502093
my6,0.005183529427151615
mz6,-0.010953859613168608
Ixx6,0.0005824659954349809
Ixy6,-0.0001671992988383996
Ixz6,0.0015836502402204779
Iyy6,0.00016546826278719773
Iyz6,0.0013787501370740084
Izz6,0.00040353621339480684
