time,ref_q1,ref_q2,ref_q3,ref_q4,ref_q5,ref_q6,q1,q2,q3,q4,q5,q6,vel_q1,vel_q2,vel_q3,vel_q4,vel_q5,vel_q6,tau1,tau2,tau3,tau4,tau5,tau6,acc_q1,acc_q2,acc_q3,acc_q4,acc_q5,acc_q6
0.004000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000005,0.000000,0.000041,0.000209,0.000080,0.000005,0.001784,0.000122,0.015767,-0.000300,-0.000120,-0.000008,-0.002508,-0.000017,-0.002120,0.051148,0.017126,0.000285,0.393600,0.024923,3.418274
0.008000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000002,0.000001,0.000000,0.000015,0.000001,0.000132,0.000400,0.000134,0.000004,0.003098,0.000188,0.026093,-0.000821,-0.000288,-0.000010,-0.006013,-0.000034,-0.004643,0.045797,0.011513,-0.000675,0.289757,0.012916,2.229534
0.012000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000004,0.000001,0.000000,0.000030,0.000002,0.000254,0.000567,0.000170,0.000001,0.004060,0.000219,0.032774,-0.001453,-0.000451,-0.000007,-0.009628,-0.000048,-0.006915,0.039393,0.007734,-0.000852,0.211966,0.005949,1.432770
0.016000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000007,0.000002,0.000000,0.000048,0.000003,0.000396,0.000709,0.000194,-0.000002,0.004760,0.000232,0.037010,-0.002173,-0.000595,-0.000002,-0.013277,-0.000060,-0.009010,0.032947,0.005193,-0.000705,0.153682,0.002007,0.898480
0.020000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000010,0.000003,0.000000,0.000068,0.000004,0.000551,0.000825,0.000210,-0.000004,0.005264,0.000234,0.039607,-0.002960,-0.000701,0.000002,-0.016888,-0.000070,-0.010976,0.026978,0.003485,-0.000462,0.110052,-0.000142,0.540095
0.024000,0.000000,0.000001,0.000000,0.000002,0.000000,0.000000,0.000013,0.000004,0.000000,0.000090,0.000005,0.000713,0.000920,0.000221,-0.000005,0.005620,0.000231,0.041105,-0.003800,-0.000748,0.000007,-0.020395,-0.000079,-0.012845,0.021715,0.002342,-0.000228,0.077474,-0.001248,0.299708
0.028000,0.000000,0.000001,0.000000,0.000003,0.000000,0.000000,0.000017,0.000005,-0.000000,0.000114,0.000006,0.000880,0.000996,0.000229,-0.000006,0.005867,0.000225,0.041864,-0.004680,-0.000715,0.000010,-0.023732,-0.000087,-0.014640,0.017217,0.001580,-0.000041,0.053271,-0.001759,0.138559
0.032000,0.000000,0.000002,0.000000,0.000006,0.000000,0.000000,0.000021,0.000006,-0.000000,0.000138,0.000006,0.001048,0.001055,0.000234,-0.000006,0.006034,0.000218,0.042130,-0.005590,-0.000574,0.000012,-0.026835,-0.000095,-0.016376,0.013457,0.001080,0.000090,0.035447,-0.001944,0.030677
0.036000,0.000000,0.000004,0.000000,0.000010,0.000000,0.000000,0.000026,0.000007,-0.000000,0.000162,0.000007,0.001217,0.001101,0.000237,-0.000005,0.006142,0.000210,0.042065,-0.006522,-0.000298,0.000014,-0.029639,-0.000102,-0.018062,0.010362,0.000757,0.000174,0.022515,-0.001955,-0.041350
0.040000,0.000000,0.000006,0.000000,0.000015,0.000000,0.000000,0.000030,0.000007,-0.000000,0.000187,0.000008,0.001384,0.001136,0.000240,-0.000005,0.006207,0.000203,0.041781,-0.007470,0.000144,0.000015,-0.032076,-0.000109,-0.019705,0.007841,0.000559,0.000219,0.013366,-0.001882,-0.089214
0.044000,0.000000,0.000009,0.000000,0.000023,0.000000,0.000000,0.000035,0.000008,-0.000000,0.000212,0.000009,0.001550,0.001162,0.000242,-0.000004,0.006244,0.000196,0.041351,-0.008430,0.000785,0.000016,-0.034079,-0.000116,-0.021310,0.005804,0.000448,0.000238,0.007172,-0.001774,-0.120770
0.048000,0.000000,0.000013,0.000000,0.000032,0.000000,0.000000,0.000039,0.000009,-0.000000,0.000237,0.000010,0.001714,0.001181,0.000243,-0.000003,0.006261,0.000189,0.040825,-0.009397,0.001661,0.000016,-0.035579,-0.000123,-0.022881,0.004166,0.000400,0.000239,0.003315,-0.001657,-0.141307
0.052000,0.000000,0.000017,0.000000,0.000045,0.000000,0.000000,0.000044,0.000010,-0.000000,0.000262,0.000010,0.001876,0.001195,0.000245,-0.000002,0.006268,0.000183,0.040239,-0.010368,0.002808,0.000015,-0.036503,-0.000130,-0.024419,0.002853,0.000398,0.000230,0.001333,-0.001542,-0.154387
0.056000,0.000000,0.000024,0.000000,0.000060,0.000000,0.000000,0.000049,0.000011,-0.000000,0.000287,0.000011,0.002036,0.001204,0.000246,-0.000001,0.006271,0.000177,0.039614,-0.011342,0.004267,0.000015,-0.036778,-0.000136,-0.025927,0.001801,0.000432,0.000216,0.000882,-0.001435,-0.162418
0.060000,0.000000,0.000031,0.000000,0.000080,0.000000,0.000000,0.000054,0.000012,-0.000000,0.000312,0.000012,0.002193,0.001209,0.000248,-0.000001,0.006276,0.000172,0.038966,-0.012315,0.006079,0.000014,-0.036329,-0.000142,-0.027405,0.000955,0.000494,0.000201,0.001707,-0.001338,-0.167024
0.064000,0.000000,0.000040,0.000000,0.000103,0.000000,0.000000,0.000059,0.000013,-0.000000,0.000337,0.000012,0.002347,0.001211,0.000251,0.000000,0.006286,0.000167,0.038307,-0.013287,0.008287,0.000013,-0.035077,-0.000148,-0.028855,0.000273,0.000581,0.000187,0.003616,-0.001251,-0.169310
0.068000,0.000000,0.000052,0.000000,0.000132,0.000000,0.000000,0.000063,0.000014,-0.000000,0.000362,0.000013,0.002498,0.001211,0.000253,0.000001,0.006306,0.000162,0.037642,-0.014257,0.010938,0.000012,-0.032943,-0.000154,-0.030278,-0.000281,0.000690,0.000175,0.006471,-0.001172,-0.170022
0.072000,0.000000,0.000065,0.000000,0.000166,0.000000,0.000000,0.000068,0.000015,-0.000000,0.000387,0.000014,0.002647,0.001209,0.000256,0.000001,0.006340,0.000158,0.036978,-0.015222,0.014078,0.000011,-0.029847,-0.000160,-0.031674,-0.000735,0.000819,0.000166,0.010165,-0.001100,-0.169672
0.076000,0.000000,0.000080,0.000000,0.000205,0.000000,0.000000,0.000073,0.000016,-0.000000,0.000413,0.000014,0.002793,0.001205,0.000260,0.000002,0.006390,0.000154,0.036317,-0.016183,0.017756,0.000010,-0.025705,-0.000166,-0.033044,-0.001112,0.000966,0.000159,0.014624,-0.001033,-0.168606
0.080000,0.000000,0.000099,0.000000,0.000252,0.000000,0.000000,0.000078,0.000017,-0.000000,0.000439,0.000015,0.002937,0.001200,0.000264,0.000002,0.006460,0.000150,0.035661,-0.017138,0.022021,0.000008,-0.020434,-0.000171,-0.034388,-0.001430,0.001132,0.000156,0.019791,-0.000971,-0.167062
0.084000,0.000000,0.000119,0.000000,0.000305,0.000000,0.000000,0.000083,0.000019,-0.000000,0.000465,0.000016,0.003078,0.001194,0.000269,0.000003,0.006553,0.000147,0.035012,-0.018087,0.026926,0.000007,-0.013948,-0.000176,-0.035707,-0.001702,0.001315,0.000156,0.025626,-0.000913,-0.165202
0.088000,0.000000,0.000143,0.000000,0.000367,0.000000,0.000000,0.000087,0.000020,-0.000000,0.000491,0.000016,0.003217,0.001186,0.000275,0.000003,0.006670,0.000143,0.034371,-0.019030,0.032523,0.000005,-0.006161,-0.000182,-0.037002,-0.001940,0.001517,0.000159,0.032099,-0.000857,-0.163140
